order_date,expected_delivery_date,customer_id,product_id,order_qty,order_amount,status,,,
20231108,20231127,00667,00001-A020030,2.000000,0.0000,R,,,
20231109,20231130,01746,00001-A013320,4.000000,0.0000,R,,,
20231110,20231117,00620,01016-D010310,6.000000,10320.0000,F,,,
20231110,20231121,00399,00001-A011747,30.000000,1650000.0000,R,,,
20231113,20231120,00108,00001-A020006,30.000000,0.0000,R,,,
20231113,20231122,00113,00001-A010138,250.000000,13137500.0000,F,,,
20231113,20231129,00113,00001-A010699,5.000000,2587500.0000,P,,,
20231113,20231130,00113,00001-A010873,50.000000,4970000.0000,F,,,
20231114,20231130,00113,01016-D011148,50.000000,55000.0000,F,,,
20231114,20231130,02126,00001-A011484,4.000000,24400.0000,R,,,
20231115,20231127,00111,00001-A013506,40.000000,972000.0000,R,,,
20231115,20231127,00667,00001-A010465,60.000000,15529740.0000,R,,,
20231115,20231127,02379,00001-A013203,2.000000,10200.0000,R,,,
20231116,20231120,00108,00001-A190001,167.000000,0.0000,R,,,
20231116,20231123,01650,01016-D010214,5.000000,10500.0000,R,,,
20231116,20231124,02126,00001-A011483,10.000000,2784000.0000,R,,,
20231116,20231127,02182,00001-A012152,3.000000,0.0000,R,,,
20231116,20231208,00113,00001-A012120,30.000000,684000.0000,F,,,
20231116,20231213,00677,00001-A020243,40.000000,15640000.0000,F,,,
20231117,20231117,00113,01016-D010257,15.000000,0.0000,F,,,
20231117,20231124,00620,01016-D010069,20.000000,7800.0000,R,,,
20231117,20231124,00620,01016-D010159,16.000000,8000.0000,R,,,
20231117,20231124,03620,01016-D010181,1.000000,684.0000,R,,,
20231117,20231124,03620,01016-D010374,1.000000,3408.0000,R,,,
20231117,20231124,03663,01016-D010266,2.000000,1.4400,R,,,
20231117,20231129,02976,00001-A010007,4.000000,24868.0000,R,,,
20231117,20231129,02976,00001-A020087,1.000000,0.0000,R,,,
20231117,20231207,00113,00001-A010769,10.000000,1029000.0000,F,,,
20231117,20231207,00113,00001-A011128,10.000000,0.0000,F,,,
20231117,20231207,00113,00001-A012645,50.000000,0.0000,F,,,
20231117,20231207,00113,01016-D010548,25.000000,267500.0000,F,,,
20231120,20231127,02226,01016-D010249,40.000000,256000.0000,R,,,
20231120,20231127,02226,01016-D011153,100.000000,600000.0000,F,,,
20231120,20231127,02976,00001-A010273,3.000000,440115.0000,R,,,
20231120,20231128,00823,00001-A010597,20.000000,800.0000,R,,,
20231120,20231128,01012,01016-D010424,20.000000,128400.0000,P,,,
20231120,20231128,01012,01016-D013502,100.000000,43000.0000,P,,,
20231120,20231128,01012,01016-D013534,40.000000,37440.0000,F,,,
20231120,20231128,01889,01016-D011762,10.000000,2440.0000,R,,,
20231120,20231130,00400,00001-A012618,7.000000,285600.0000,R,,,
20231120,20231130,01480,00001-A010086,6.000000,132600.0000,R,,,
20231120,20231201,00620,01016-D010020,3.000000,864000.0000,F,,,
20231120,20231204,00979,01016-D012171,100.000000,300000.0000,P,,,
20231120,20231204,00979,01016-D012172,100.000000,400000.0000,F,,,
20231120,20231208,00113,01016-D010447,100.000000,120000.0000,F,,,
20231120,20231222,01746,00001-A013328,12.000000,642000.0000,R,,,
20231120,20231230,01746,00001-A011721,3.000000,195000.0000,R,,,
20231121,20231201,01713,00001-A011021,3.000000,1902.0000,R,,,
20231121,20231204,01992,01016-D011014,10.000000,1000.0000,F,,,
20231121,20231205,00667,00001-A010322,165.000000,0.0000,R,,,
20231121,20231212,00113,00001-A010269,50.000000,3800000.0000,P,,,
20231122,20231124,01137,01016-D010254,2.000000,720.0000,R,,,
20231122,20231128,03811,01016-D013386,2.000000,88000.0000,R,,,
20231122,20231201,00620,00001-A010368,50.000000,1600000.0000,F,,,
20231122,20231201,00620,01016-D010774,10.000000,21000.0000,R,,,
20231122,20231201,00620,01016-D040012,50.000000,1600000.0000,F,,,
20231122,20231201,01889,01016-D010452,10.000000,11580.0000,R,,,
20231122,20231204,02035,00001-A010647,10.000000,1032000.0000,R,,,
20231106,20231116,02379,00001-A013154,10.000000,0.0000,R,,,
20231108,20231115,00113,00001-A012907,100.000000,200000.0000,P,,,
